t z
0 0
0.14 0.330609387
0.28 3.52852399
0.42 11.422454
0.56 21.7077885
0.7 33.8480213
0.84 47.6301165
0.98 62.8966961
1.12 79.5010385
1.26 97.2953765
1.4 116.124164
1.54 135.817083
1.68 155.927876
1.82 174.765905
1.96 192.224737
2.1 208.467914
2.24 223.630096
2.38 237.823462
2.52 251.142435
2.66 263.66722
2.8 275.466507
2.94 286.599557
3.08 297.117833
3.22 307.066296
3.36 316.48444
3.5 325.407123
3.64 333.865254
3.78 341.886348
3.92 349.494989
4.06 356.713219
4.2 363.560857
4.34 370.055774
4.48 376.21412
4.62 382.050529
4.76 387.578277
4.9 392.809437
5.04 397.754996
5.18 402.424966
5.32 406.828481
5.46 410.973874
5.6 414.868752
5.74 418.520058
5.88 421.934126
6.02 425.116728
6.16 428.07312
6.3 430.808076
6.44 433.325924
6.58 435.630571
6.72 437.725534
6.86 439.613959
7 441.29864
7.14 442.78204
7.28 444.066302
7.42 445.153261
7.56 446.04446
7.7 446.741153
7.84 447.244315
7.98 447.554649
8.12 447.672584
8.26 447.598299
8.4 447.33193
8.54 446.873847
8.68 446.22468
8.82 445.385323
8.96 444.356924
9.1 443.140877
9.24 441.738823
9.38 440.152631
9.52 438.384396
9.66 436.436424
9.8 434.311222
9.94 432.011484
10.08 429.540082
10.22 426.900047
10.36 424.09456
10.5 421.126932
10.64 418.000598
10.78 414.719094
10.92 411.286049
11.06 407.70517
11.2 403.980223
11.34 400.115027
11.48 396.113438
11.62 391.979334
11.76 387.716608
11.9 383.329154
12.04 378.820855
12.18 374.195577
12.32 369.457158
12.46 364.609399
12.6 359.656055
12.74 354.600832
12.88 349.447376
13.02 344.199273
13.16 338.860036
13.3 333.433108
13.44 327.921855
13.58 322.329563
13.72 316.659434
13.86 310.914588
14 305.098057
14.14 299.212785
14.28 293.26163
14.42 287.247359
14.56 281.172651
14.7 275.040097
14.84 268.852199
14.98 262.611373
15.12 256.319949
15.26 249.98017
15.4 243.594199
15.54 237.164114
15.68 230.691915
15.82 224.179521
15.96 217.628778
16.1 211.041455
16.24 204.419249
16.38 197.763788
16.52 191.076629
16.66 184.359265
16.8 177.613125
16.94 170.839576
17.08 164.039924
17.22 157.215418
17.36 150.367252
17.5 143.496567
17.64 136.604451
17.78 129.691943
17.92 122.760036
18.06 115.809674
18.2 108.841761
18.34 101.857157
18.48 94.8566816
18.62 87.8411164
18.76 80.811206
18.9 73.7676596
19.04 66.7111526
19.18 59.6423282
19.32 52.5617987
19.46 45.4701467
19.6 38.3679269
19.74 31.255667
19.88 24.133869
20.02 17.0030106
20.16 9.86354584
20.3 2.71590681
20.36 -0.349766888
