t z
0 0.00516671291
0.18 8.64938223
0.36 33.7943444
0.54 73.1697664
0.72 122.729904
0.9 177.488989
1.08 232.002708
1.26 280.601699
1.44 321.908116
1.62 357.61326
1.8 388.988869
1.98 416.910298
2.16 442.005777
2.34 464.741406
2.52 485.472486
2.7 504.476002
2.88 521.972013
3.06 538.138189
3.24 553.119986
3.42 567.037935
3.6 579.99297
3.78 592.070404
3.96 603.342939
4.14 613.87298
4.32 623.714439
4.5 632.914151
4.68 641.513013
4.86 649.546885
5.04 657.047334
5.22 664.042236
5.4 670.556272
5.58 676.611341
5.76 682.226903
5.94 687.420267
6.12 692.206831
6.3 696.600292
6.48 700.612812
6.66 704.255172
6.84 707.536893
7.02 710.466343
7.2 713.050827
7.38 715.296664
7.56 717.209252
7.74 718.79312
7.92 720.05197
8.1 720.988717
8.28 721.605511
8.46 721.903761
8.64 721.884152
8.82 721.546979
9 720.893009
9.18 719.923719
9.36 718.641284
9.54 717.048561
9.72 715.149062
9.9 712.946922
10.08 710.446865
10.26 707.654168
10.44 704.574611
10.62 701.214438
10.8 697.580307
10.98 693.679241
11.16 689.518578
11.34 685.105924
11.52 680.449099
11.7 675.556097
11.88 670.435032
12.06 665.094101
12.24 659.541538
12.42 653.785576
12.6 647.834412
12.78 641.696175
12.96 635.378895
13.14 628.890475
13.32 622.23867
13.5 615.431067
13.68 608.475064
13.86 601.37786
14.04 594.146438
14.22 586.78756
14.4 579.307756
14.58 571.713322
14.76 564.010315
14.94 556.204551
15.12 548.301607
15.3 540.306819
15.48 532.225291
15.66 524.061889
15.84 515.821257
16.02 507.507811
16.2 499.125753
16.38 490.679072
16.56 482.171557
16.74 473.606795
16.92 464.988188
17.1 456.318952
17.28 447.602129
17.46 438.840595
17.64 430.037064
17.82 421.194098
18 412.314112
18.18 403.399384
18.36 394.452058
18.54 385.474155
18.72 376.467575
18.9 367.434107
19.08 358.375431
19.26 349.29313
19.44 340.188687
19.62 331.063499
19.8 321.918875
19.98 312.756045
20.16 303.576165
20.34 294.380316
20.52 285.169515
20.7 275.944715
20.88 266.706809
21.06 257.456635
21.24 248.194978
21.42 238.922573
21.6 229.64011
21.78 220.348235
21.96 211.047553
22.14 201.73863
22.32 192.421997
22.5 183.09815
22.68 173.767555
22.86 164.430648
23.04 155.087835
23.22 145.739499
23.4 136.385996
23.58 127.027661
23.76 117.664807
23.94 108.297725
24.12 98.9266905
24.3 89.551959
24.48 80.1737701
24.66 70.7923482
24.84 61.4079028
25.02 52.0206303
25.2 42.6307142
25.38 33.238326
25.56 23.8436263
25.74 14.4467653
25.92 5.04788338
26.02 -0.174542206
