t z
0 0
0.21 7.8448449
0.42 35.2381493
0.63 78.4844069
0.84 133.55617
1.05 196.654529
1.26 264.132095
1.47 332.114855
1.68 394.403027
1.89 448.06732
2.1 494.166473
2.31 534.428692
2.52 570.080022
2.73 601.988103
2.94 630.789432
3.15 656.964701
3.36 680.885732
3.57 702.845959
3.78 723.080926
3.99 741.782486
4.2 759.108891
4.41 775.192115
4.62 790.143285
4.83 804.056763
5.04 817.013271
5.25 829.082318
5.46 840.324094
5.67 850.790982
5.88 860.528766
6.09 869.577606
6.3 877.972831
6.51 885.745596
6.72 892.923421
6.93 899.530634
7.14 905.58875
7.35 911.11678
7.56 916.131498
7.77 920.64766
7.98 924.678191
8.19 928.234342
8.4 931.325824
8.61 933.960918
8.82 936.146565
9.03 937.88844
9.24 939.191018
9.45 940.057614
9.66 940.490419
9.87 940.49053
10.08 940.058388
10.29 939.195083
10.5 937.902771
10.71 936.18466
10.92 934.044979
11.13 931.488934
11.34 928.522662
11.55 925.15317
11.76 921.388275
11.97 917.236528
12.18 912.707148
12.39 907.809942
12.6 902.555226
12.81 896.953748
13.02 891.01661
13.23 884.755193
13.44 878.181079
13.65 871.305986
13.86 864.141699
14.07 856.700007
14.28 848.99265
14.49 841.031259
14.7 832.827319
14.91 824.39212
15.12 815.736721
15.33 806.871924
15.54 797.80824
15.75 788.555873
15.96 779.1247
16.17 769.524254
16.38 759.76372
16.59 749.851926
16.8 739.797337
17.01 729.608057
17.22 719.29183
17.43 708.856042
17.64 698.307728
17.85 687.653579
18.06 676.899949
18.27 666.052864
18.48 655.118034
18.69 644.10086
18.9 633.00645
19.11 621.839626
19.32 610.604939
19.53 599.306678
19.74 587.948882
19.95 576.535356
20.16 565.069675
20.37 553.555202
20.58 541.995094
20.79 530.392318
21 518.749655
21.21 507.069715
21.42 495.354944
21.63 483.607636
21.84 471.829936
22.05 460.023857
22.26 448.19128
22.47 436.333966
22.68 424.453562
22.89 412.551608
23.1 400.629546
23.31 388.688721
23.52 376.730391
23.73 364.755732
23.94 352.76584
24.15 340.761743
24.36 328.744396
24.57 316.714694
24.78 304.673471
24.99 292.621506
25.2 280.559525
25.41 268.488207
25.62 256.408184
25.83 244.320047
26.04 232.224345
26.25 220.121593
26.46 208.012269
26.67 195.89682
26.88 183.775663
27.09 171.649185
27.3 159.517749
27.51 147.381693
27.72 135.24133
27.93 123.096955
28.14 110.948841
28.35 98.7972424
28.56 86.6423973
28.77 74.484527
28.98 62.3238378
29.19 50.1605223
29.4 37.9947595
29.61 25.8267166
29.82 13.6565492
30.03 1.48440248
30.06 -0.254629205
