x z
0.0260418587 0.147298969
0.415292953 2.7627153
0.800157521 8.93716458
1.17515887 20.0199927
1.53645568 33.4895786
1.88201644 48.8568948
2.21037685 65.8797156
2.52049639 84.3725691
2.81171204 104.158549
3.08371202 125.062517
3.33651504 146.889547
3.57044724 169.360101
3.78681701 190.61591
3.98810861 210.177379
4.17644805 228.2665
4.35355031 245.062174
4.52081924 260.710683
4.67941896 275.333147
4.83032576 289.030972
4.97436678 301.88989
5.11224912 313.98301
5.2445823 325.373166
5.37189561 336.114732
5.49465184 346.255057
5.61325816 355.835608
5.72807493 364.892881
5.83942276 373.459146
5.94758839 381.563055
6.05282944 389.230143
6.15537847 396.483242
6.25544626 403.342827
6.35322468 409.827314
6.44888902 415.953298
6.54260008 421.735768
6.63450588 427.188284
6.72474317 432.323132
6.81343873 437.15145
6.9007105 441.683351
6.98666858 445.928012
7.07141609 449.893767
7.15504993 453.588177
7.23766148 457.018096
7.31933717 460.18973
7.40015907 463.108683
7.48020535 465.780004
7.55955071 468.20822
7.63826682 470.397375
7.71642262 472.351055
7.79408474 474.072413
7.87131773 475.56419
7.9481844 476.828738
8.02474606 477.868027
8.10106275 478.683667
8.17719345 479.27691
8.25319617 479.648664
8.3291273 479.799496
8.40502777 479.729655
8.48087587 479.439312
8.5566175 478.928909
8.63219636 478.199218
8.70755632 477.251338
8.78264192 476.086689
8.85739863 474.707002
8.93177308 473.114312
9.00571324 471.310943
9.07916861 469.2995
9.15209033 467.082848
9.22443141 464.664102
9.29614678 462.046608
9.36719343 459.233927
9.4375305 456.229815
9.50711939 453.038209
9.57592376 449.663203
9.64390966 446.109033
9.71104549 442.380058
9.77730207 438.48074
9.84265261 434.415628
9.90707273 430.189337
9.97054041 425.806537
10.033036 421.271929
10.0945421 416.590236
10.1550437 411.766183
10.2145278 406.804487
10.2729836 401.709841
10.3304024 396.486906
10.3867774 391.140292
10.4421038 385.674559
10.4963784 380.094196
10.5495999 374.403622
10.6017686 368.607173
10.6528863 362.709099
10.7029561 356.713555
10.7519828 350.6246
10.799972 344.446188
10.8469309 338.182171
10.8928675 331.83629
10.937791 325.412179
10.9817112 318.913358
11.0246391 312.343237
11.0665862 305.705112
11.1075648 299.002168
11.1475878 292.237477
11.1866686 285.414001
11.2248212 278.534592
11.2620597 271.601994
11.298399 264.618846
11.333854 257.587681
11.36844 250.510931
11.4021723 243.390929
11.4350667 236.229908
11.4671388 229.03001
11.4984046 221.793283
11.5288798 214.521686
11.5585804 207.217093
11.5875223 199.881294
11.6157212 192.515996
11.643193 185.122832
11.6699533 177.703357
11.6960178 170.259055
11.7214018 162.79134
11.7461207 155.301559
11.7701896 147.790996
11.7936234 140.260872
11.816437 132.712349
11.8386449 125.146534
11.8602614 117.564479
11.8813008 109.967184
11.9017769 102.355598
11.9217035 94.7306258
11.9410939 87.0931249
11.9599615 79.4439102
11.9783192 71.7837555
11.9961798 64.1133951
12.0135558 56.4335261
12.0304593 48.7448099
12.0469025 41.0478739
12.0628971 33.3433132
12.0784545 25.631692
12.0935861 17.9135455
12.1083028 10.1893807
12.1226155 2.45967844
12.1272985 -0.118040114
