t z
0 0
0.14 0.330609388
0.28 3.52852547
0.42 11.4225114
0.56 21.708197
0.7 33.849574
0.84 47.6344178
0.98 62.9065123
1.12 79.5206583
1.26 97.3309437
1.4 116.183946
1.54 135.911629
1.68 156.069968
1.82 174.968507
1.96 192.499072
2.1 208.823569
2.24 224.075214
2.38 238.36493
2.52 251.786047
2.66 264.417826
2.8 276.328136
2.94 287.575526
3.08 298.210845
3.22 308.278515
3.36 317.817563
3.5 326.862442
3.64 335.443705
3.78 343.588559
3.92 351.32132
4.06 358.663793
4.2 365.635593
4.34 372.254414
4.48 378.536254
4.62 384.495611
4.76 390.145651
4.9 395.498347
5.04 400.564607
5.18 405.354375
5.32 409.876729
5.46 414.13996
5.6 418.151643
5.74 421.918697
5.88 425.447444
6.02 428.743652
6.16 431.812582
6.3 434.659019
6.44 437.287311
6.58 439.701395
6.72 441.904823
6.86 443.900783
7 445.692122
7.14 447.281359
7.28 448.670704
7.42 449.862067
7.56 450.857071
7.7 451.657062
7.84 452.263116
7.98 452.676042
8.12 452.89639
8.26 452.924453
8.4 452.76034
8.54 452.404271
8.68 451.856718
8.82 451.118402
8.96 450.190295
9.1 449.073608
9.24 447.769791
9.38 446.28052
9.52 444.607696
9.66 442.753427
9.8 440.720027
9.94 438.509996
10.08 436.126016
10.22 433.570934
10.36 430.847752
10.5 427.959614
10.64 424.90979
10.78 421.701666
10.92 418.338731
11.06 414.824561
11.2 411.162806
11.34 407.35718
11.48 403.411449
11.62 399.329413
11.76 395.1149
11.9 390.771755
12.04 386.303826
12.18 381.714955
12.32 377.00897
12.46 372.189675
12.6 367.260843
12.74 362.226206
12.88 357.089452
13.02 351.854214
13.16 346.524068
13.3 341.102528
13.44 335.593039
13.58 329.998973
13.72 324.32363
13.86 318.57023
14 312.741915
14.14 306.841742
14.28 300.872688
14.42 294.837643
14.56 288.739413
14.7 282.580718
14.84 276.364192
14.98 270.092385
15.12 263.767761
15.26 257.392702
15.4 250.969504
15.54 244.500383
15.68 237.987475
15.82 231.432835
15.96 224.838442
16.1 218.206199
16.24 211.537933
16.38 204.835402
16.52 198.100291
16.66 191.334218
16.8 184.538734
16.94 177.715326
17.08 170.865418
17.22 163.990373
17.36 157.091498
17.5 150.170042
17.64 143.227199
17.78 136.26411
17.92 129.281869
18.06 122.281518
18.2 115.264052
18.34 108.230422
18.48 101.181538
18.62 94.1182633
18.76 87.041426
18.9 79.9518136
19.04 72.8501775
19.18 65.7372341
19.32 58.613666
19.46 51.4801237
19.6 44.3372269
19.74 37.1855656
19.88 30.025702
20.02 22.8581712
20.16 15.6834824
20.3 8.5021205
20.44 1.31454677
20.47 -0.226413211
