t z
0 0
0.3 4.45181681
0.6 25.6702127
0.9 57.3107611
1.2 98.9117868
1.5 150.520471
1.8 209.857881
2.1 269.038175
2.4 327.33587
2.7 384.750966
3 441.283464
3.3 496.933364
3.6 551.700665
3.9 605.585367
4.2 658.587471
4.5 710.706976
4.8 761.943883
5.1 812.298192
5.4 861.769902
5.7 910.359013
6 958.065526
6.3 1004.88944
6.6 1050.83076
6.9 1095.88947
7.2 1140.06559
7.5 1183.35911
7.8 1225.77004
8.1 1267.29836
8.4 1307.94408
8.7 1347.70721
9 1386.58774
9.3 1424.58567
9.6 1461.701
9.9 1497.93373
10.2 1533.28387
10.5 1567.7514
10.8 1601.33634
11.1 1634.03868
11.4 1665.85842
11.7 1696.79556
12 1726.8501
12.3 1756.02204
12.6 1784.31139
12.9 1811.71814
13.2 1838.24229
13.5 1863.88384
13.8 1888.64279
14.1 1912.51914
14.4 1935.5129
14.7 1957.62405
15 1978.85261
15.3 1999.19857
15.6 2018.66193
15.9 2037.2427
16.2 2054.94086
16.5 2071.75642
16.8 2087.68939
17.1 2102.73976
17.4 2116.90753
17.7 2130.1927
18 2142.59527
18.3 2154.11525
18.6 2164.75262
18.9 2174.5074
19.2 2183.37958
19.5 2191.36916
19.8 2198.47614
20.1 2204.70053
20.4 2210.04231
20.7 2214.5015
21 2218.07809
21.3 2220.77208
21.6 2222.58347
21.9 2223.51226
22.2 2223.55845
22.5 2222.72205
22.8 2221.00305
23.1 2218.40144
23.4 2214.91724
23.7 2210.55045
24 2205.30105
24.3 2199.16905
24.6 2192.15446
24.9 2184.25727
25.2 2175.47748
25.5 2165.81509
25.8 2155.2701
26.1 2143.84251
26.4 2131.53233
26.7 2118.33954
27 2104.26416
27.3 2089.30618
27.6 2073.4656
27.9 2056.74242
28.2 2039.13665
28.5 2020.64827
28.8 2001.2773
29.1 1981.02373
29.4 1959.88756
29.7 1937.86879
30 1914.96742
30.3 1891.18346
30.6 1866.51689
30.9 1840.96773
31.2 1814.53597
31.5 1787.22161
31.8 1759.02465
32.1 1729.9451
32.4 1699.98294
32.7 1669.13819
33 1637.41083
33.3 1604.80088
33.6 1571.30834
33.9 1536.93319
34.2 1501.67544
34.5 1465.5351
34.8 1428.51215
35.1 1390.60661
35.4 1351.81847
35.7 1312.14773
36 1271.5944
36.3 1230.15846
36.6 1187.83993
36.9 1144.63879
37.2 1100.55506
37.5 1055.58873
37.8 1009.73981
38.1 963.008279
38.4 915.394154
38.7 866.897431
39 817.518109
39.3 767.256188
39.6 716.111669
39.9 664.084552
40.2 611.174836
40.5 557.382521
40.8 502.707608
41.1 447.150097
41.4 390.709986
41.7 333.387278
42 275.181971
42.3 216.094065
42.6 156.123561
42.9 95.2704588
43.2 33.5347577
43.37 -1.84058188
